Unnamed: 0,Doc_id,Message,Date,Time,Symbols,Sentiment,Words
0,268863929, AAPL SPY QQQ Will AAPL hit 3 trillion market cap next year I think the possibility is pretty high due to the hype of the Apple Cars and their new phones,2020-12-31,23:58:49Z,"['AAPL', 'SPY', 'QQQ']",Bullish,"['aapl', 'spy', 'qqq', 'will', 'aapl', 'hit', '3', 'trillion', 'market', 'cap', 'next', 'year', 'i', 'think', 'possibility', 'pretty', 'high', 'due', 'hype', 'apple', 'car', 'new', 'phone']"
1,268863920, AAPL so you would think it was a perfect day to buy calls I ve learned my lesson to let it finish dropping It might not be done Thinking about 160 July 16s A lot of people and analysts see it hitting 200 in 2021 ,2020-12-31,23:58:40Z,['AAPL'],Bullish,"['aapl', 'would', 'think', 'perfect', 'day', 'buy', 'call', 'i', 'learned', 'lesson', 'let', 'finish', 'dropping', 'it', 'might', 'done', 'thinking', '160', 'july', '16', 'a', 'lot', 'people', 'analyst', 'see', 'hitting', '200', '2021']"
2,268863653, AAPL buy price Apple for me 64 can t wait to see what the New Years brings Apple will be a bull forever and always ,2020-12-31,23:56:52Z,['AAPL'],Bullish,"['aapl', 'buy', 'price', 'apple', '64', 'wait', 'see', 'new', 'year', 'brings', 'apple', 'bull', 'forever', 'always']"
3,268863594, AAPL can i get a hi 5,2020-12-31,23:56:31Z,['AAPL'],,"['aapl', 'get', 'hi', '5']"
4,268862960, AAPL Happy New Year By Melbenross Apple ,2020-12-31,23:52:32Z,['AAPL'],Bullish,"['aapl', 'happy', 'new', 'year', 'by', 'melbenross', 'apple']"
5,268862897, AAPL hard to see now eventually the bleeding will stop and we will move foward,2020-12-31,23:52:10Z,['AAPL'],,"['aapl', 'hard', 'see', 'eventually', 'bleeding', 'stop', 'move', 'foward']"
6,268862612, AMZN I think this symmetric triangle and all is bullshit this thing is going to run into earnings dont waste your time drawing lines TSLA and AAPL had catalyst to breakout of that zone my honest opinion SPY QQQ,2020-12-31,23:50:08Z,"['AAPL', 'AMZN', 'SPY', 'TSLA', 'QQQ']",Bullish,"['amzn', 'i', 'think', 'symmetric', 'triangle', 'bullshit', 'thing', 'going', 'run', 'earnings', 'dont', 'waste', 'time', 'drawing', 'line', 'tsla', 'aapl', 'catalyst', 'breakout', 'zone', 'honest', 'opinion', 'spy', 'qqq']"
7,268862114, AAPL Anyone stressed about this stock needs to stop buying YOLO weeklies This is about as safe as it gets ,2020-12-31,23:46:55Z,['AAPL'],Bullish,"['aapl', 'anyone', 'stressed', 'stock', 'need', 'stop', 'buying', 'yolo', 'weekly', 'this', 'safe', 'get']"
8,268861567, AAPL to All and Everyone have a wonderful New Year See you all on the other side ,2020-12-31,23:43:44Z,['AAPL'],Bullish,"['aapl', 'all', 'everyone', 'wonderful', 'new', 'year', 'see', 'side']"
9,268860519, AAPL,2020-12-31,23:37:56Z,['AAPL'],,['aapl']
10,268860466, NIO DIS AAPL TSLA drinking off these gains this year Cheers to 2020 Let s go 2021 Make me more money,2020-12-31,23:37:33Z,"['AAPL', 'DIS', 'NIO', 'TSLA']",Bullish,"['nio', 'dis', 'aapl', 'tsla', 'drinking', 'gain', 'year', 'cheer', '2020', 'let', 'go', '2021', 'make', 'money']"
11,268858750, AAPL Bought 135 June calls at close Good Luck and Happy New Year,2020-12-31,23:28:25Z,['AAPL'],Bullish,"['aapl', 'bought', '135', 'june', 'call', 'close', 'good', 'luck', 'happy', 'new', 'year']"
